graph,n,m,n',m',s',kernelTime,fvs,time
1,112,425,85,403,0,47015,32,49002
2,49,107,0,0,15,463,15,468
3,2888,2981,0,0,5,10049,5,10058
4,212,244,0,0,15,3129,15,3134
5,3133,6726,380,1182,631,60190,,
6,1174,1417,157,341,34,55087,,
7,1354,1710,0,0,111,65707,111,65715
8,2383,2886,284,601,58,100273,,
9,2736,3495,476,1076,60,125365,,
10,2737,3497,478,1073,60,125328,,
11,2746,3505,487,1107,56,175538,,
12,300,409,0,0,36,28741,36,28751
13,3012,3566,381,745,63,135452,,
14,3374,4068,392,764,101,131068,,
15,89,206,0,0,20,25325,20,25329
16,56,739,31,317,13,31352,34,31362
17,80,167,0,0,7,199,7,203
18,90,231,0,0,12,522,12,526
19,100,391,42,261,2,38688,22,38699
20,150,684,95,470,3,65084,34,65185
21,160,620,0,0,29,60098,29,60116
22,180,1262,131,1151,3,55330,59,61936
23,200,981,136,782,6,95160,59,114622
24,220,1399,174,1329,6,55101,,
25,230,1954,207,1937,0,50113,,
26,260,2676,220,2543,1,50065,,
27,280,2755,245,2775,0,50108,,
28,290,3800,259,3671,1,50142,,
29,300,2488,244,2362,1,50129,,
30,2352,6123,946,4782,0,50508,,
31,2078,4771,767,3411,2,75356,,
32,1816,3734,599,2533,2,65239,,
33,1596,2983,487,1917,2,65332,,
34,1405,2385,377,1358,5,49285,,
35,1079,1541,184,559,12,65109,,
36,620,694,42,119,6,80129,19,80141
37,347,353,0,0,7,2039,7,2046
38,12094,20988,0,0,1508,19131,1508,19145
39,12882,22367,0,0,1504,23311,1504,23357
40,1036,3231,270,2465,0,20136,,
41,146,361,65,280,0,15115,35,86330
42,1351,3241,270,1618,0,27574,,
43,6324,20717,2366,9918,17,97538,,
44,14229,28510,3620,16562,4,61902,,
45,3377,10461,84,464,346,212407,397,212441
46,16816,29312,1069,4692,1956,344348,,
47,2431,4501,330,2400,0,20096,,
48,2029,3719,312,2002,0,18858,,
49,5848,11310,848,3848,361,37845,,
50,5534,8472,498,2371,40,108132,,
51,433,1314,158,821,33,70151,98,399611
52,4749,7085,448,2185,42,95372,,
53,445,1381,166,876,34,95184,,
54,454,1417,173,946,34,70153,,
55,4969,12498,4347,11880,0,50309,,
56,65,125,0,0,19,15391,19,15396
57,112,168,112,168,0,25041,29,25045
58,10790,22469,147,446,234,107065,281,110610
59,10859,22747,100,298,252,115915,282,116143
60,10886,22493,96,251,241,106070,270,106308
61,11011,22677,161,450,230,71058,280,113061
62,11051,22724,155,428,230,76134,275,102505
63,11174,23409,208,617,224,71254,285,292531
64,6474,12572,55,150,187,108763,207,108784
65,3015,5156,63,171,67,88147,87,88163
66,4450,8258,81,215,120,149432,147,149532
67,292,958,200,722,35,107871,,
68,85,219,54,170,7,55165,32,55207
69,274,669,0,0,80,23435,80,23444
70,1612,2106,110,220,123,140213,158,141202
71,366,2562,366,2562,0,16351,169,18451
72,58,87,58,87,0,18641,15,18644
73,70,105,70,105,0,22653,18,22656
74,70,105,70,105,0,22853,18,22855
75,70,105,70,105,0,22723,18,22726
76,406,609,406,609,0,26471,102,26488
77,76,152,76,152,0,20182,26,20212
78,118,531,118,531,0,20051,,
79,182,910,182,910,0,16943,81,19193
80,366,2562,366,2562,0,16604,169,18726
81,144,576,48,96,48,14609,72,14618
82,292,1124,82,281,82,110181,125,234035
83,61,248,0,0,30,634,30,638
84,62,78,0,0,7,108,7,112
85,39,170,0,0,12,7682,12,7689
86,62,159,0,0,19,36691,19,36702
87,162,510,89,216,32,48522,73,48529
88,198,597,0,0,90,3313,90,3319
89,209,767,188,741,6,47621,,
90,221,704,160,528,22,61732,94,61783
91,245,608,140,424,19,105220,78,162647
92,307,1108,307,1108,0,20055,,
93,310,1069,205,654,49,65115,135,401832
94,346,1440,281,1412,2,50113,,
95,361,1296,301,1041,28,53285,,
96,419,1572,419,1572,0,20066,,
97,492,1332,0,0,185,7071,185,7080
98,511,1495,75,325,147,180298,186,181115
99,59,104,0,0,16,2536,16,2541
100,607,2262,460,1750,54,80393,,
101,758,2618,475,1604,117,109667,,
102,869,3208,176,608,329,128933,,
103,265,744,260,744,0,45968,,
104,577,1656,572,1656,0,48578,,
105,1961,2578,666,1286,0,50207,,
106,105,441,0,0,38,46433,38,46448
107,10922,18061,0,0,3600,10086,3600,10091
108,19362,32081,0,0,6400,10301,6400,10318
109,66,192,60,204,0,30213,32,301343
110,258,768,252,780,0,30379,,
111,36,76,0,0,9,131,9,137
112,153,177,0,0,12,867,12,870
113,149,193,0,0,16,1680,16,1688
114,55,81,0,0,11,368,11,373
115,73,95,0,0,10,472,10,475
116,110,148,0,0,15,1073,15,1080
117,125,146,0,0,9,512,9,515
118,754,895,0,0,54,5351,54,5359
119,32,63,0,0,7,88,7,92
120,90,103,0,0,7,237,7,240
121,45,64,0,0,8,126,8,129
122,145,186,0,0,16,1834,16,1839
123,71,115,0,0,11,342,11,346
124,74,101,0,0,8,240,8,246
125,69,96,0,0,8,220,8,224
126,158,189,0,0,15,1548,15,1552
127,61,78,0,0,7,150,7,154
128,1157,1465,0,0,87,5749,87,5754
129,2395,7462,0,0,308,10052,308,10056
130,4960,9462,0,0,898,10066,898,10074
