graph,n,m,n',m',s',kernelTime,fvs,time
1,112,425,85,403,0,16,32,2116
2,49,107,24,68,4,1,15,4
3,2888,2981,0,0,5,4,5,7
4,212,244,0,0,15,1,15,4
5,3133,6726,381,1192,630,122,,
6,1174,1417,153,335,35,16,,
7,1354,1710,56,122,91,5,111,75
8,2383,2886,289,618,56,73,,
9,2736,3495,478,1085,59,80,,
10,2737,3497,480,1082,59,92,,
11,2746,3505,509,1159,50,112,,
12,300,409,0,0,36,1,36,5
13,3012,3566,404,805,55,57,,
14,3374,4068,423,849,88,70,,
15,89,206,21,57,11,1,20,4
16,56,739,31,317,13,1,34,11
17,80,167,0,0,7,1,7,2
18,90,231,19,48,5,2,12,4
19,100,391,42,261,2,1,22,10
20,150,684,95,470,3,3,34,69
21,160,620,38,116,17,3,29,6
22,180,1262,131,1151,3,6,59,6190
23,200,981,138,832,5,6,59,16557
24,220,1399,174,1329,6,8,,
25,230,1954,207,1937,0,11,,
26,260,2676,220,2543,1,25,,
27,280,2755,245,2775,0,18,,
28,290,3800,259,3671,1,27,,
29,300,2488,244,2362,1,17,,
30,2352,6123,946,4782,0,152,,
31,2078,4771,776,3530,0,133,,
32,1816,3734,599,2533,2,63,,
33,1596,2983,487,1917,2,56,,
34,1405,2385,377,1358,5,33,,
35,1079,1541,199,646,8,16,,
36,620,694,49,135,4,3,19,8
37,347,353,0,0,7,1,7,3
38,12094,20988,3097,13370,1,1554,1508,16779
39,12882,22367,3294,14160,1,1719,1504,7023
40,1036,3231,270,2465,0,18,,
41,146,361,65,280,0,1,35,47481
42,1351,3241,270,1618,0,18,,
43,6324,20717,2862,11993,11,3926,,
44,14229,28510,3620,16562,4,4290,,
45,3377,10461,192,1536,269,53,397,104
46,16816,29312,4249,19362,2,4442,,
47,2431,4501,330,2400,0,39,,
48,2029,3719,312,2002,0,41,,
49,5848,11310,848,3848,361,178,,
50,5534,8472,502,2401,39,112,,
51,433,1314,159,831,32,8,98,324090
52,4749,7085,448,2185,42,105,,
53,445,1381,168,885,33,8,,
54,454,1417,174,957,33,9,,
55,4969,12498,4347,11880,0,1839,,
56,65,125,54,122,0,1,19,19
57,112,168,112,168,0,2,29,5
58,10790,22469,155,477,233,135,281,2162
59,10859,22747,154,463,232,89,282,2276
60,10886,22493,125,362,229,91,270,764
61,11011,22677,161,450,230,73,280,12675
62,11051,22724,157,439,229,83,275,9741
63,11174,23409,208,617,224,105,285,145207
64,6474,12572,55,150,187,27,207,45
65,3015,5156,64,177,66,14,87,28
66,4450,8258,90,246,116,22,147,129
67,292,958,204,739,33,8,,
68,85,219,59,182,5,1,32,78
69,274,669,24,68,69,2,80,6
70,1612,2106,131,276,116,10,158,2236
71,366,2562,366,2562,0,39,169,2398
72,58,87,58,87,0,1,15,3
73,70,105,70,105,0,1,18,2
74,70,105,70,105,0,1,18,4
75,70,105,70,105,0,2,18,4
76,406,609,406,609,0,12,102,29
77,76,152,76,152,0,1,26,32
78,118,531,118,531,0,3,,
79,182,910,182,910,0,5,81,2931
80,366,2562,366,2562,0,28,169,2415
81,144,576,48,96,48,2,72,4
82,292,1124,83,287,81,4,125,132657
83,61,248,0,0,30,1,30,3
84,62,78,0,0,7,0,7,1
85,39,170,0,0,12,0,12,2
86,62,159,25,96,7,1,19,5
87,162,510,89,216,32,5,73,11
88,198,597,0,0,90,1,90,3
89,209,767,188,741,6,7,,
90,221,704,160,528,22,11,94,59
91,245,608,143,441,17,8,78,107618
92,307,1108,307,1108,0,9,,
93,310,1069,205,654,49,12,135,346410
94,346,1440,281,1412,2,9,,
95,361,1296,301,1041,28,8,,
96,419,1572,419,1572,0,24,,
97,492,1332,22,71,174,8,185,15
98,511,1495,138,529,117,12,186,1499
99,59,104,26,73,4,1,16,5
100,607,2262,487,1830,42,37,,
101,758,2618,475,1604,117,72,,
102,869,3208,176,608,329,60,,
103,265,744,260,744,0,10,,
104,577,1656,572,1656,0,48,,
105,1961,2578,666,1286,0,122,,
106,105,441,0,0,38,2,38,5
107,10922,18061,0,0,3600,6,3600,9
108,19362,32081,0,0,6400,10,6400,14
109,66,192,60,204,0,1,32,297052
110,258,768,252,780,0,10,,
111,36,76,0,0,9,1,9,4
112,153,177,0,0,12,1,12,4
113,149,193,0,0,16,1,16,5
114,55,81,0,0,11,0,11,3
115,73,95,0,0,10,0,10,2
116,110,148,12,29,10,0,15,4
117,125,146,0,0,9,0,9,2
118,754,895,25,56,45,3,54,10
119,32,63,0,0,7,1,7,4
120,90,103,0,0,7,0,7,4
121,45,64,0,0,8,0,8,2
122,145,186,0,0,16,1,16,4
123,71,115,0,0,11,0,11,3
124,74,101,0,0,8,1,8,3
125,69,96,0,0,8,1,8,3
126,158,189,0,0,15,0,15,3
127,61,78,0,0,7,0,7,3
128,1157,1465,0,0,87,2,87,5
129,2395,7462,0,0,308,6,308,9
130,4960,9462,0,0,898,7,898,9
