graph,n,m,n',m',s',kernelTime,fvs,time
001,5848,14647,0,0,204,70321,204,70342
002,462,620,0,0,47,5301,47,5312
003,53,89,0,0,10,608,10,624
004,270,1726,200,1360,5,75180,,
005,62,159,0,0,19,53595,19,53603
006,471,503,28,63,3,41952,11,41957
007,36,239,0,0,17,25421,17,25423
008,1846,2203,167,445,63,95094,108,186632
009,110,364,0,0,21,75868,21,75875
010,198,2742,130,1728,38,183441,129,189351
011,140,688,88,447,3,65131,36,65236
012,112,168,112,168,0,25039,29,25042
013,272,408,272,408,0,27330,69,27343
014,1782,8581,0,0,64,68619,64,68624
015,118,179,0,0,18,1575,18,1578
016,224,420,220,418,0,50151,,
017,130,911,84,635,4,50865,45,51447
018,314,1425,41,312,0,25012,32,25061
019,1960,4621,0,0,256,9142,256,9147
020,74,92,0,0,8,193,8,197
021,1846,2203,172,453,62,94271,108,224606
022,11174,23409,208,617,224,70490,285,193624
023,335,1025,70,396,0,25465,52,28737
024,30,315,0,0,21,1262,21,1267
025,1454,1923,95,198,116,140261,147,143253
026,114,456,114,456,0,17767,49,17808
027,126,189,126,189,0,25046,32,25051
028,70,85,0,0,8,189,8,194
029,80,160,80,160,0,20248,27,20280
030,40,292,0,0,19,1499,19,1503
031,278,394,0,0,33,5040,33,5044
032,3701,6725,96,303,92,135263,123,135306
033,620,930,620,930,0,22788,156,22827
034,190,1068,143,954,3,55080,58,58493
035,210,1364,144,949,5,60109,63,63396
036,1741,3169,288,1716,0,17398,,
037,20588,91241,152,7422,107,57818,191,58570
038,10943,22607,120,353,240,111257,272,111690
039,2927,9829,560,7462,0,16296,,
040,10729,21999,185,603,222,100665,284,264900
041,17758,54196,0,0,2664,10208,2664,10215
042,67,95,0,0,11,549,11,556
043,266,1596,266,1596,0,16466,121,420946
044,120,469,53,238,5,58658,24,58670
045,14842,24571,0,0,4900,10092,4900,10097
046,73,152,41,120,0,20106,18,20115
047,84,166,80,166,0,41120,28,215432
048,256,1330,189,664,39,140237,,
049,443,590,0,0,48,25520,48,25526
050,49,84,0,0,7,110,7,114
051,50,175,50,175,0,20036,27,52148
052,1624,2213,172,374,120,125223,176,324308
053,1091,3421,280,2610,0,20072,,
054,229,774,187,660,12,20050,,
055,615,1171,604,1169,0,52988,,
056,1723,2394,138,293,152,120481,196,131310
057,1553,10725,0,0,19,22970,19,22972
058,13942,28342,2380,8942,435,50457,,
059,192,379,32,235,0,37364,18,37369
060,62,186,62,186,0,20025,25,20038
061,94,376,94,376,0,20042,,
062,57,78,0,0,7,181,7,186
063,406,1155,401,1155,0,46258,,
064,268,1407,229,1130,17,25039,,
065,66,127,0,0,21,684,21,688
066,146,657,146,657,0,20033,64,87316
067,170,794,121,662,3,65135,45,66601
068,5094,7515,459,2177,47,180556,,
069,833,1038,68,236,11,80158,35,80228
070,197,243,0,0,19,2508,19,2516
071,1308,3126,1307,3125,0,20916,,
072,101,190,0,0,9,350,9,352
073,6474,12572,55,150,187,102351,207,102371
074,10670,22002,123,412,252,97739,290,97934
075,252,476,248,474,0,50078,,
076,87,227,0,0,32,29887,32,29896
077,113,161,0,0,16,1673,16,1679
078,3120,3684,395,782,60,135360,,
079,6133,12301,1472,7069,0,41996,,
080,5420,10445,36,116,165,111126,179,111146
081,240,1971,185,1648,4,50098,,
082,4962,7375,441,2077,51,137856,,
083,34,78,0,0,7,70,7,74
084,9000,13278,8556,12834,0,30197,,
085,966,953,0,0,51,16832,51,16837
086,112,425,85,403,0,44944,32,46241
087,331,1391,150,915,18,85144,70,85624
088,2029,3719,312,2002,0,18478,,
089,250,1607,208,1319,3,55125,,
090,2746,3505,489,1106,56,150444,,
091,234,300,0,0,21,9535,21,9544
092,42,105,42,105,0,20046,16,20051
093,193,1650,49,230,98,72732,128,72748
094,161,608,161,608,0,20051,,
095,67,83,0,0,8,157,8,162
096,48,64,0,0,6,70,6,74
097,96,336,96,336,0,20035,48,20381
098,118,179,0,0,18,1056,18,1062
099,37,62,0,0,8,87,8,90
100,187,652,160,548,13,40195,93,44675
