graph,n,m,n',m',s',kernelTime,fvs,time
001,5848,14647,0,0,204,27,204,48
002,462,620,0,0,47,2,47,5
003,53,89,0,0,10,2,10,4
004,270,1726,200,1360,5,68,,
005,62,159,25,96,7,2,19,8
006,471,503,30,81,2,2,11,6
007,36,239,0,0,17,1,17,5
008,1846,2203,174,465,61,21,108,145112
009,110,364,54,233,2,2,21,14
010,198,2742,151,2083,22,18,129,34373
011,140,688,88,447,3,4,36,141
012,112,168,112,168,0,2,29,8
013,272,408,272,408,0,12,69,28
014,1782,8581,351,5070,0,216,64,2330
015,118,179,0,0,18,0,18,4
016,224,420,220,418,0,6,,
017,130,911,84,635,4,4,45,782
018,314,1425,41,312,0,2,32,40
019,1960,4621,0,0,256,4,256,7
020,74,92,0,0,8,1,8,3
021,1846,2203,179,473,60,27,108,201963
022,11174,23409,208,617,224,150,285,123148
023,335,1025,70,396,0,3,52,2324
024,30,315,0,0,21,1,21,4
025,1454,1923,142,312,100,16,147,10915
026,114,456,114,456,0,4,49,58
027,126,189,126,189,0,2,32,8
028,70,85,0,0,8,1,8,4
029,80,160,80,160,0,2,27,41
030,40,292,16,110,8,1,19,6
031,278,394,0,0,33,1,33,3
032,3701,6725,139,483,76,45,123,733
033,620,930,620,930,0,47,156,102
034,190,1068,143,954,3,9,58,4444
035,210,1364,144,949,5,10,63,4531
036,1741,3169,288,1716,0,41,,
037,20588,91241,152,7422,107,13116,191,13729
038,10943,22607,134,407,235,130,272,259
039,2927,9829,560,7462,0,295,,
040,10729,21999,200,689,216,173,284,314524
041,17758,54196,0,0,2664,62,2664,72
042,67,95,0,0,11,0,11,2
043,266,1596,266,1596,0,35,121,483440
044,120,469,57,272,4,3,24,20
045,14842,24571,0,0,4900,86,4900,91
046,73,152,41,120,0,1,18,16
047,84,166,80,166,0,2,28,210978
048,256,1330,189,664,39,14,,
049,443,590,23,44,40,2,48,6
050,49,84,0,0,7,0,7,3
051,50,175,50,175,0,1,27,42617
052,1624,2213,200,446,109,21,176,594533
053,1091,3421,280,2610,0,31,,
054,229,774,187,660,12,8,,
055,615,1171,604,1169,0,46,,
056,1723,2394,196,428,134,24,196,33920
057,1553,10725,0,0,19,20,19,22
058,13942,28342,2380,8942,435,2148,,
059,192,379,32,235,0,3,18,13
060,62,186,62,186,0,3,25,19
061,94,376,94,376,0,4,,
062,57,78,16,39,0,1,7,5
063,406,1155,401,1155,0,23,,
064,268,1407,230,1150,16,15,,
065,66,127,0,0,21,1,21,3
066,146,657,146,657,0,5,64,94541
067,170,794,121,662,3,6,45,2151
068,5094,7515,464,2255,45,183,,
069,833,1038,78,257,9,5,35,225
070,197,243,0,0,19,0,19,3
071,1308,3126,1307,3125,0,151,,
072,101,190,0,0,9,0,9,3
073,6474,12572,55,150,187,39,207,67
074,10670,22002,126,428,251,92,290,262
075,252,476,248,474,0,7,,
076,87,227,26,81,20,1,32,7
077,113,161,5,10,13,0,16,4
078,3120,3684,410,830,54,80,,
079,6133,12301,1472,7069,0,564,,
080,5420,10445,43,130,162,33,179,51
081,240,1971,185,1648,4,19,,
082,4962,7375,445,2100,50,146,,
083,34,78,0,0,7,0,7,4
084,9000,13278,8556,12834,0,8031,,
085,966,953,7,13,48,1,51,5
086,112,425,85,403,0,3,32,2787
087,331,1391,172,1012,12,15,70,2647
088,2029,3719,312,2002,0,50,,
089,250,1607,208,1319,3,15,,
090,2746,3505,511,1159,50,100,,
091,234,300,40,109,4,2,21,7
092,42,105,42,105,0,1,16,6
093,193,1650,49,230,98,3,128,15
094,161,608,161,608,0,4,,
095,67,83,0,0,8,1,8,3
096,48,64,0,0,6,0,6,2
097,96,336,96,336,0,3,48,304
098,118,179,0,0,18,1,18,2
099,37,62,0,0,8,0,8,2
100,187,652,160,548,13,5,93,5838
