graph,n,m,n',m',s',kernelTime,fvs,time
AntlerH_F=95_K=2_R=15_A=2_M=1_V1,110,116,0,0,3,50,3,160
Antler_F=65_K=2_R=45_A=2_M=1_V1,110,272,45,196,2,17268,24,17420
Antler_F=50_K=3_R=60_A=2_M=1_V1,110,452,61,368,2,26239,35,27382
PathAntler_F=100_K=2_R=10_A=2_M=1_V1,112,119,0,0,3,45,3,48
Antler_F=60_K=3_R=50_A=1_M=1_V2,112,354,51,268,2,20907,31,22329
PathAntlerH_F=85_K=3_R=25_A=1_M=1_V1,113,176,0,0,12,6033,12,6041
Antler_F=60_K=3_R=50_A=2_M=1_V1,113,367,50,270,3,21151,31,21699
SingleTreeAntler_F=50_K=3_R=60_A=1_M=1_V1,113,445,61,366,2,15684,37,20115
SingleTreeAntler_F=70_K=4_R=40_A=3_M=1_V2,114,276,40,157,4,22148,21,22162
AntlerH_F=55_K=5_R=55_A=2_M=1_V1,115,437,56,319,4,25823,34,26665
SingleTreeAntler_F=55_K=6_R=55_A=3_M=1_V1,116,437,55,300,6,26630,35,27017
SingleTreeAntler_F=95_K=7_R=15_A=5_M=1_V2,117,168,0,0,11,1064,11,1074
PathAntlerH_F=80_K=9_R=30_A=5_M=1_V1,119,257,27,84,9,29672,20,29677
PathAntler_F=95_K=10_R=15_A=10_M=1_V1,120,215,0,0,14,827,14,832
PathAntler_F=65_K=10_R=45_A=5_M=1_V2,120,392,46,206,9,49518,32,49654
PathAntlerH_F=50_K=16_R=60_A=9_M=1_V2,126,711,109,698,0,40678,51,92448
SingleTreeAntler_F=50_K=6_R=60_A=4_M=2_V2,172,655,61,376,11,37052,46,40829
SingleTreeAntler_F=60_K=5_R=50_A=3_M=2_V1,180,536,51,267,9,26136,38,27381
PathAntler_F=50_K=10_R=60_A=7_M=2_V2,180,786,60,332,20,22943,54,31277
AntlerH_F=60_K=9_R=50_A=4_M=2_V1,187,654,89,488,4,68532,44,70707
PathAntlerH_F=50_K=14_R=60_A=10_M=2_V1,188,1021,62,401,26,22014,62,25504
SingleTreeAntler_F=70_K=7_R=40_A=5_M=2_V1,194,469,62,243,7,69088,31,69151
PathAntler_F=75_K=5_R=35_A=2_M=2_V1,195,377,45,168,5,47820,24,47851
AntlerH_F=75_K=10_R=35_A=6_M=2_V1,204,572,39,180,17,86609,37,86646
SingleTreeAntler_F=90_K=5_R=20_A=3_M=2_V1,210,304,0,0,15,17839,15,17846
PathAntler_F=85_K=9_R=25_A=4_M=2_V2,213,434,0,0,25,20242,25,20247
PathAntler_F=95_K=5_R=15_A=4_M=2_V2,215,293,0,0,12,1296,12,1301
SingleTreeAntler_F=95_K=6_R=15_A=3_M=2_V1,217,298,0,0,13,15869,13,15875
PathAntler_F=50_K=7_R=60_A=4_M=3_V1,231,818,70,389,16,49147,53,52819
PathAntlerH_F=55_K=12_R=55_A=8_M=3_V1,256,1130,73,434,28,65956,65,67780
AntlerH_F=65_K=6_R=45_A=4_M=3_V1,257,670,45,198,18,90261,40,90353
SingleTreeAntler_F=65_K=7_R=45_A=5_M=3_V1,261,696,87,413,8,60114,43,60454
PathAntler_F=70_K=4_R=40_A=3_M=3_V2,262,530,40,165,12,23385,32,23461
AntlerH_F=70_K=5_R=40_A=4_M=3_V2,264,563,40,169,14,92430,33,92479
PathAntlerH_F=60_K=13_R=50_A=7_M=3_V1,269,1098,62,290,33,77882,64,79475
SingleTreeAntler_F=80_K=6_R=30_A=5_M=3_V2,288,526,49,162,11,61771,29,61794
SingleTreeAntler_F=85_K=4_R=25_A=2_M=3_V1,292,416,22,56,12,24178,20,24183
AntlerH_F=85_K=5_R=25_A=4_M=3_V1,293,468,0,0,23,60986,23,60994
PathAntlerH_F=70_K=15_R=40_A=8_M=3_V2,295,1094,144,653,15,95204,63,119171
Antler_F=55_K=2_R=55_A=2_M=5_V2,335,707,55,297,10,33932,40,34949
Antler_F=80_K=2_R=30_A=2_M=4_V2,347,472,22,59,10,34637,17,34642
PathAntler_F=80_K=5_R=30_A=2_M=4_V2,370,636,50,169,12,80161,30,80176
PathAntler_F=60_K=5_R=50_A=2_M=5_V1,375,911,75,414,13,94282,51,96335
AntlerH_F=80_K=7_R=30_A=4_M=4_V1,377,791,71,316,11,180328,41,180522
PathAntlerH_F=85_K=9_R=25_A=7_M=4_V2,401,862,29,87,31,42624,43,42635
AntlerH_F=65_K=9_R=45_A=7_M=5_V2,411,1340,169,989,6,50097,67,58779
Antler_F=50_K=2_R=60_A=2_M=7_V2,422,956,60,369,14,23707,46,24171
