graph,n,m,n',m',s',kernelTime,fvs,time
AntlerH_F=95_K=2_R=15_A=2_M=1_V1,110,116,0,0,3,2,3,14
Antler_F=65_K=2_R=45_A=2_M=1_V1,110,272,45,196,2,8,24,638
Antler_F=50_K=3_R=60_A=2_M=1_V1,110,452,61,368,2,2,35,1489
PathAntler_F=100_K=2_R=10_A=2_M=1_V1,112,119,0,0,3,1,3,2
Antler_F=60_K=3_R=50_A=1_M=1_V2,112,354,51,268,2,1,31,1336
PathAntlerH_F=85_K=3_R=25_A=1_M=1_V1,113,176,24,78,2,0,12,8
Antler_F=60_K=3_R=50_A=2_M=1_V1,113,367,50,270,3,2,31,447
SingleTreeAntler_F=50_K=3_R=60_A=1_M=1_V1,113,445,61,366,2,2,37,3894
SingleTreeAntler_F=70_K=4_R=40_A=3_M=1_V2,114,276,40,157,4,1,21,13
AntlerH_F=55_K=5_R=55_A=2_M=1_V1,115,437,56,319,4,2,34,517
SingleTreeAntler_F=55_K=6_R=55_A=3_M=1_V1,116,437,73,394,0,1,35,1121
SingleTreeAntler_F=95_K=7_R=15_A=5_M=1_V2,117,168,27,79,1,0,11,3
PathAntlerH_F=80_K=9_R=30_A=5_M=1_V1,119,257,62,205,0,2,20,25
PathAntler_F=95_K=10_R=15_A=10_M=1_V1,120,215,57,147,1,1,14,10
PathAntler_F=65_K=10_R=45_A=5_M=1_V2,120,392,76,354,0,2,32,294
PathAntlerH_F=50_K=16_R=60_A=9_M=1_V2,126,711,109,698,0,3,51,59899
SingleTreeAntler_F=50_K=6_R=60_A=4_M=2_V2,172,655,89,541,2,3,46,8919
SingleTreeAntler_F=60_K=5_R=50_A=3_M=2_V1,180,536,79,441,0,2,38,1992
PathAntler_F=50_K=10_R=60_A=7_M=2_V2,180,786,126,714,1,2,54,76572
AntlerH_F=60_K=9_R=50_A=4_M=2_V1,187,654,96,541,2,3,44,2485
PathAntlerH_F=50_K=14_R=60_A=10_M=2_V1,188,1021,148,938,2,4,62,106627
SingleTreeAntler_F=70_K=7_R=40_A=5_M=2_V1,194,469,87,369,0,3,31,155
PathAntler_F=75_K=5_R=35_A=2_M=2_V1,195,377,40,152,6,2,24,41
AntlerH_F=75_K=10_R=35_A=6_M=2_V1,204,572,75,354,6,3,37,245
SingleTreeAntler_F=90_K=5_R=20_A=3_M=2_V1,210,304,33,91,5,1,15,5
PathAntler_F=85_K=9_R=25_A=4_M=2_V2,213,434,92,323,0,2,25,42
PathAntler_F=95_K=5_R=15_A=4_M=2_V2,215,293,17,48,6,1,12,5
SingleTreeAntler_F=95_K=6_R=15_A=3_M=2_V1,217,298,36,107,2,2,13,8
PathAntler_F=50_K=7_R=60_A=4_M=3_V1,231,818,114,627,4,9,53,26920
PathAntlerH_F=55_K=12_R=55_A=8_M=3_V1,256,1130,181,1045,1,9,65,252666
AntlerH_F=65_K=6_R=45_A=4_M=3_V1,257,670,98,506,1,4,40,289
SingleTreeAntler_F=65_K=7_R=45_A=5_M=3_V1,261,696,109,523,2,7,43,653
PathAntler_F=70_K=4_R=40_A=3_M=3_V2,262,530,52,213,8,2,32,200
AntlerH_F=70_K=5_R=40_A=4_M=3_V2,264,563,52,237,9,2,33,95
PathAntlerH_F=60_K=13_R=50_A=7_M=3_V1,269,1098,185,1004,1,11,64,212471
SingleTreeAntler_F=80_K=6_R=30_A=5_M=3_V2,288,526,49,162,11,2,29,23
SingleTreeAntler_F=85_K=4_R=25_A=2_M=3_V1,292,416,22,56,12,1,20,5
AntlerH_F=85_K=5_R=25_A=4_M=3_V1,293,468,43,143,7,4,23,10
PathAntlerH_F=70_K=15_R=40_A=8_M=3_V2,295,1094,208,1018,0,10,63,908612
Antler_F=55_K=2_R=55_A=2_M=5_V2,335,707,59,328,8,4,40,1687
Antler_F=80_K=2_R=30_A=2_M=4_V2,347,472,23,75,9,1,17,5
PathAntler_F=80_K=5_R=30_A=2_M=4_V2,370,636,64,236,7,4,30,64
PathAntler_F=60_K=5_R=50_A=2_M=5_V1,375,911,116,617,3,4,51,6729
AntlerH_F=80_K=7_R=30_A=4_M=4_V1,377,791,87,394,7,5,41,390
PathAntlerH_F=85_K=9_R=25_A=7_M=4_V2,401,862,136,508,6,7,43,225
AntlerH_F=65_K=9_R=45_A=7_M=5_V2,411,1340,169,989,6,10,67,16662
Antler_F=50_K=2_R=60_A=2_M=7_V2,422,956,60,369,14,3,46,1489
PathAntlerH_F=75_K=4_R=35_A=4_M=5_V2,430,720,73,265,8,4,34,65
SingleTreeAntler_F=75_K=6_R=35_A=5_M=5_V1,440,947,77,350,15,5,45,94
AntlerH_F=60_K=7_R=50_A=4_M=6_V2,448,1357,134,791,12,10,68,18391
AntlerH_F=50_K=2_R=60_A=2_M=8_V2,461,957,60,317,16,2,48,2392
SingleTreeAntler_F=65_K=5_R=45_A=3_M=6_V2,465,1055,95,528,10,4,52,1650
SingleTreeAntler_F=55_K=4_R=55_A=3_M=7_V2,468,1210,67,412,22,4,59,2241
PathAntler_F=80_K=9_R=30_A=4_M=5_V1,475,1085,188,785,2,10,57,35863
Antler_F=55_K=2_R=55_A=2_M=8_V1,501,961,55,279,16,2,46,1711
PathAntlerH_F=55_K=9_R=55_A=4_M=7_V2,503,2022,253,1634,6,17,,
PathAntler_F=70_K=8_R=40_A=4_M=6_V1,508,1362,188,956,5,13,67,111397
PathAntler_F=55_K=10_R=55_A=5_M=7_V1,510,2217,282,1798,7,30,,
PathAntlerH_F=90_K=9_R=20_A=8_M=5_V1,515,1072,189,748,1,13,50,4133
AntlerH_F=70_K=10_R=40_A=9_M=6_V1,519,1768,225,1417,3,18,79,139650
SingleTreeAntler_F=85_K=3_R=25_A=1_M=6_V2,553,762,33,117,12,3,26,12
PathAntlerH_F=95_K=14_R=15_A=10_M=5_V2,560,1481,290,1200,2,16,,
AntlerH_F=80_K=9_R=30_A=4_M=6_V2,561,1422,216,1072,1,17,66,68800
PathAntlerH_F=60_K=13_R=50_A=8_M=7_V2,561,2759,379,2576,1,28,,
Antler_F=90_K=2_R=20_A=2_M=6_V1,566,656,0,0,16,1,16,4
PathAntlerH_F=100_K=13_R=10_A=7_M=5_V2,575,1280,276,985,1,13,63,1434576
Antler_F=70_K=3_R=40_A=1_M=8_V1,612,994,56,237,14,5,41,309
