graph,n,m,n',m',s',kernelTime,fvs,time
nd_7_10,7,10,0,0,1,30,1,37
florentine_families,15,20,0,0,2,14,2,21
zebra,27,111,0,0,16,654,16,664
davis_southern_women,32,89,0,0,11,6049,11,6057
montreal,33,78,0,0,6,129,6,135
karate-club,34,78,0,0,7,94,7,98
ceo_club,40,95,0,0,8,6539,8,6543
elite,44,99,0,0,11,33250,11,33254
macaque_neural,47,313,29,159,9,55342,26,55353
USA_Mixed_2016,48,103,0,0,14,5734,14,5747
bcspwr02,49,59,0,0,5,58,5,62
contiguous-usa,49,107,0,0,15,422,15,427
terrorists_911,62,152,0,0,15,431,15,438
dolphins,62,159,0,0,19,48063,19,48069
ar_m8x8,64,112,56,108,0,42137,18,42230
baseball,84,84,0,0,2,9,2,10
polbooks,105,441,0,0,38,48647,38,48656
adjnoun_adjacency,112,425,85,403,0,47793,32,49433
football,115,613,115,613,0,20046,,
revolution,141,160,0,0,3,98,3,103
world_Mixed_2016,173,328,0,0,36,18360,36,18369
arenas-jazz,198,2742,134,1806,35,140561,129,154068
interactome_pdz,212,242,0,0,13,3212,13,3216
can_229,229,774,187,660,12,20051,,
dwt_245,245,608,140,424,19,105205,78,157048
ar_m16x16,256,480,248,476,0,50099,,
c260,260,390,260,390,0,27671,66,27678
oryza_sativa_japonica,327,341,0,0,4,1164,4,1167
usair97,332,2126,0,0,80,29162,80,29171
maier_facebook_friends,348,1988,39,342,119,110847,143,110881
oryctolagus_cuniculus,350,333,0,0,11,3122,11,3126
marvel_partnerships,350,346,0,0,22,5051,22,5057
celegans_metabolic,453,2025,0,0,89,5077,89,5082
gallus_gallus,457,480,0,0,19,10087,19,10093
human_papillomavirus_16,484,511,0,0,1,68,1,71
hepatitus_C_Virus,493,491,0,0,0,74,0,80
nd_511_1830,511,1830,0,0,127,5119,127,5122
NL_Mixed_2016,514,1618,340,1312,41,135269,,
diseasome,516,1188,0,0,169,5116,169,5124
canis_familiaris,529,538,0,0,3,800,3,805
danio_rerio,581,602,0,0,18,10159,18,10166
bos_taurus,605,585,0,0,24,5127,24,5132
dwt_607,607,2262,487,1830,42,70150,,
can_715,715,2975,595,2612,29,50234,,
internet_top_pop_kdl,754,895,0,0,54,5461,54,5470
socfb-Caltech36,769,16656,673,16390,5,50600,,
copenhagen_fb_friends,800,6418,691,6144,14,55313,,
cpan_perl_module_users,839,2112,69,266,14,75182,37,75243
human_Herpesvirus_8,904,914,0,0,5,4688,5,4691
kegg_metabolic_aae,926,2334,83,216,61,85164,86,85207
socfb-Reed98,962,18812,864,18123,15,57082,,
middle-east_coronavirus,987,1051,0,0,4,5907,4,5917
arenas-email,1133,5451,744,4853,19,55334,,
euroroad,1174,1417,157,341,34,55134,,
candida_albicans_SC5314,1191,1708,0,0,51,17047,51,17055
board_directors,1217,1130,0,0,12,11038,12,11044
plasmodium_falciparum_3D7,1229,2448,460,1697,1,50165,,
escherichia_coli_K12_MG1655,1258,1875,214,734,26,55152,75,83115
jagmesh9,1349,3876,1345,3876,0,54615,,
moreno_crime,1380,1476,0,0,41,6198,41,6204
human_Immunodeficiency_Virus_1,1446,1732,0,0,7,21686,7,21694
netscience,1461,2742,0,0,496,6650,496,6662
socfb-Simmons81,1518,32988,1392,32187,6,58199,,
severe_acute_coronavirus,1546,1906,0,0,18,32497,18,32503
collins_yeast,1622,9070,177,3685,505,106025,621,111260
bcspwr09,1723,2394,165,352,144,149033,196,353832
biological_pathways_kegg,1729,1924,0,0,102,7059,102,7064
ppi-yeast,1846,2203,172,453,62,95159,108,192411
plant_pol_robertson,1884,15255,1092,14268,1,51032,,
blckhole,2121,6370,2091,6262,12,56614,,
nd_2453_47659,2453,47659,0,0,917,64387,917,64401
socfb-Trinity100,2613,111996,2523,111516,4,71797,,
dwt_2680,2680,11173,2533,10617,66,59414,,
sstmodel,2730,9702,1089,4434,629,146079,,
route_views,3015,5156,63,171,67,93481,87,93506
lshp3466,3466,10215,3461,10215,0,51933,,
california,4271,8909,902,3895,67,70814,,
nyc_restaurant_checkin,4936,13472,3072,11595,1,53674,,
opsahl-powergrid,4941,6594,321,685,383,165396,,
grqc,5241,14484,33,528,1393,25049,1424,25104
c6000,6000,9000,6000,9000,0,30909,,
nyc_restaurant_tips,6410,9472,1743,5237,1,51199,,
erdos992,6927,11850,548,3469,50,100751,,
ppi-dmela,7393,25569,3790,21332,35,60207,,
hepth,9875,25973,674,3263,2096,86177,,
hepph,12006,118489,922,17618,3834,139763,,
astroph,18771,198050,769,5934,8028,298077,,
condmat,23133,93439,32,71,8197,59779,8209,59946
