graph,n,m,n',m',s',kernelTime,fvs,time
nd_7_10,7,10,0,0,1,3,1,22
florentine_families,15,20,0,0,2,1,2,3
zebra,27,111,12,63,7,3,16,13
davis_southern_women,32,89,28,86,0,5,11,32
montreal,33,78,0,0,6,1,6,4
karate-club,34,78,0,0,7,1,7,3
ceo_club,40,95,13,22,4,4,8,8
elite,44,99,25,77,1,2,11,14
macaque_neural,47,313,31,196,7,4,26,46
USA_Mixed_2016,48,103,25,74,3,1,14,10
bcspwr02,49,59,0,0,5,1,5,13
contiguous-usa,49,107,24,68,4,2,15,15
terrorists_911,62,152,0,0,15,1,15,4
dolphins,62,159,25,96,7,3,19,11
ar_m8x8,64,112,56,108,0,2,18,546
baseball,84,84,0,0,2,0,2,2
polbooks,105,441,0,0,38,2,38,4
adjnoun_adjacency,112,425,85,403,0,3,32,1737
football,115,613,115,613,0,2,,
revolution,141,160,0,0,3,1,3,15
world_Mixed_2016,173,328,20,67,26,1,36,4
arenas-jazz,198,2742,151,2083,22,23,129,35318
interactome_pdz,212,242,0,0,13,1,13,2
can_229,229,774,187,660,12,6,,
dwt_245,245,608,143,441,17,5,78,150727
ar_m16x16,256,480,248,476,0,5,,
c260,260,390,260,390,0,7,66,16
oryza_sativa_japonica,327,341,0,0,4,0,4,3
usair97,332,2126,0,0,80,3,80,6
maier_facebook_friends,348,1988,85,660,91,16,143,142
oryctolagus_cuniculus,350,333,0,0,11,0,11,3
marvel_partnerships,350,346,0,0,22,1,22,4
celegans_metabolic,453,2025,0,0,89,3,89,5
gallus_gallus,457,480,0,0,19,1,19,3
human_papillomavirus_16,484,511,0,0,1,0,1,3
hepatitus_C_Virus,493,491,0,0,0,0,0,3
nd_511_1830,511,1830,0,0,127,2,127,4
NL_Mixed_2016,514,1618,370,1434,27,28,,
diseasome,516,1188,0,0,169,2,169,5
canis_familiaris,529,538,0,0,3,0,3,3
danio_rerio,581,602,0,0,18,1,18,3
bos_taurus,605,585,0,0,24,1,24,3
dwt_607,607,2262,487,1830,42,26,,
can_715,715,2975,595,2612,29,63,,
internet_top_pop_kdl,754,895,28,62,44,3,54,8
socfb-Caltech36,769,16656,673,16390,5,417,,
copenhagen_fb_friends,800,6418,691,6144,14,80,,
cpan_perl_module_users,839,2112,73,298,13,8,37,54
human_Herpesvirus_8,904,914,0,0,5,1,5,3
kegg_metabolic_aae,926,2334,90,243,58,7,86,49
socfb-Reed98,962,18812,865,18129,14,367,,
middle-east_coronavirus,987,1051,0,0,4,2,4,5
arenas-email,1133,5451,756,5029,9,85,,
euroroad,1174,1417,157,341,34,8,,
candida_albicans_SC5314,1191,1708,10,45,43,2,51,5
board_directors,1217,1130,0,0,12,0,12,2
plasmodium_falciparum_3D7,1229,2448,460,1697,1,28,,
escherichia_coli_K12_MG1655,1258,1875,214,734,26,21,75,16464
jagmesh9,1349,3876,1345,3876,0,111,,
moreno_crime,1380,1476,0,0,41,1,41,3
human_Immunodeficiency_Virus_1,1446,1732,0,0,7,1,7,4
netscience,1461,2742,48,288,456,5,496,11
socfb-Simmons81,1518,32988,1392,32187,6,755,,
severe_acute_coronavirus,1546,1906,27,192,3,4,18,10
collins_yeast,1622,9070,263,4327,440,88,621,4240
bcspwr09,1723,2394,203,450,131,18,196,379331
biological_pathways_kegg,1729,1924,9,22,98,1,102,4
ppi-yeast,1846,2203,179,473,60,14,108,99727
plant_pol_robertson,1884,15255,1092,14268,1,632,,
blckhole,2121,6370,2091,6262,12,257,,
nd_2453_47659,2453,47659,56,282,885,24,917,34
socfb-Trinity100,2613,111996,2523,111516,4,5781,,
dwt_2680,2680,11173,2533,10617,66,575,,
sstmodel,2730,9702,1095,4450,627,239,,
route_views,3015,5156,64,177,66,12,87,24
lshp3466,3466,10215,3461,10215,0,752,,
california,4271,8909,902,3895,67,181,,
nyc_restaurant_checkin,4936,13472,3072,11595,1,1081,,
opsahl-powergrid,4941,6594,361,767,372,128,,
grqc,5241,14484,240,2545,1217,76,1424,184
c6000,6000,9000,6000,9000,0,2322,,
nyc_restaurant_tips,6410,9472,1743,5237,1,752,,
erdos992,6927,11850,555,3655,47,274,,
ppi-dmela,7393,25569,3790,21332,35,3222,,
hepth,9875,25973,754,3994,2032,387,,
hepph,12006,118489,2359,39253,2778,4856,,
astroph,18771,198050,3465,34302,6134,4101,,
condmat,23133,93439,148,779,8100,245,8209,401
